mysql> SELECT ElectronicMail.content, accounts.id FROM AddressBook JOIN Entry JOIN ElectronicMail JOIN (SELECT Account.id FROM Account JOIN (SELECT accountId FROM AddressBook JOIN(SELECT addressBookId FROM Entry JOIN(SELECT entryId FROM Phone WHERE content LIKE '_-%' GROUP BY entryId) AS entryTable WHERE (Entry.id=entryTable.entryId)) AS addressTable WHERE(AddressBook.id=addressTable.addressBookId)) AS accountTable WHERE(Account.id=accountTable.accountId) GROUP BY Account.id) AS accounts WHERE(accounts.id=AddressBook.accountId AND AddressBook.id=Entry.addressBookId AND Entry.id=ElectronicMail.entryId) ORDER BY accounts.id;
+--------------------------------------------------------+----+
| content                                                | id |
| penatibus.et.magnis@interdumfeugiat.org                |  2 |
| magnis@Vivamus.com                                     |  2 |
| eget.mollis.lectus@Quisque.net                         |  2 |
| aliquet.Proin.velit@augue.edu                          |  3 |
| sem@mitempor.co.uk                                     |  3 |
| ipsum.dolor@eratvolutpatNulla.co.uk                    |  3 |
| nec.mauris@Nuncsed.ca                                  |  3 |
| sit.amet@quamCurabiturvel.co.uk                        |  3 |
| odio.Aliquam@eunulla.edu                               |  3 |
| nonummy@Vestibulumaccumsan.co.uk                       |  3 |
| eleifend.nec@sociosquadlitora.co.uk                    |  3 |
| Suspendisse@Morbineque.com                             |  3 |
| euismod@Nulla.ca                                       |  3 |
| metus.sit@sitamet.com                                  |  3 |
| id@iaculisaliquet.co.uk                                |  3 |
| fermentum.vel.mauris@Vestibulumanteipsum.edu           |  3 |
| Quisque@Nullam.ca                                      |  3 |
| semper.dui@odiovel.edu                                 |  3 |
| Duis.sit.amet@orci.net                                 |  3 |
| Aliquam.ornare.libero@malesuadafamesac.co.uk           |  3 |
| ante.Maecenas.mi@aaliquet.com                          |  3 |
| Suspendisse.non@velarcu.edu                            |  3 |
| Quisque@etmalesuadafames.ca                            |  3 |
| ornare.sagittis.felis@elitsed.net                      |  3 |
| montes@sollicitudinamalesuada.org                      |  3 |
| pharetra.felis.eget@Praesentinterdumligula.net         |  3 |
| Sed.pharetra.felis@nonmassa.ca                         |  3 |
| convallis@felis.ca                                     |  3 |
| pharetra.nibh@mauris.edu                               |  3 |
| tincidunt.aliquam@sodalesMaurisblandit.net             |  3 |
| Nunc@tellus.net                                        |  3 |
| Suspendisse.dui@mollisPhasellus.org                    |  3 |
| leo.Cras.vehicula@urnaNullamlobortis.org               |  3 |
| sed.sem.egestas@egettincidunt.net                      |  3 |
| id.ante.Nunc@non.com                                   |  3 |
| sit@commodohendrerit.co.uk                             |  3 |
| Vivamus.nibh.dolor@ipsumCurabiturconsequat.ca          |  3 |
| est.vitae.sodales@Etiamvestibulum.ca                   |  3 |
| nunc@Maecenasmi.com                                    |  3 |
| velit@augue.edu                                        |  3 |
| nisi.sem@mus.org                                       |  3 |
| Phasellus@a.edu                                        |  3 |
| In.faucibus@semperegestasurna.edu                      |  3 |
| odio@sem.edu                                           |  3 |
| a@dis.ca                                               |  3 |
| pede.et@ametornarelectus.com                           |  3 |
| amet@diamnuncullamcorper.net                           |  3 |
| ac@lectusquismassa.org                                 |  3 |
| eros@Duis.edu                                          |  3 |
| mi.Aliquam@aliquetnecimperdiet.edu                     |  3 |
| mollis.Duis@Integermollis.edu                          |  3 |
| scelerisque@laciniaorci.org                            |  3 |
| velit.eget.laoreet@nequeNullamnisl.org                 |  3 |
| mauris.eu.elit@tempor.ca                               |  3 |
| Pellentesque.ultricies.dignissim@elementumlorem.net    |  3 |
| mauris.id@Proinnon.ca                                  |  3 |
| vitae@scelerisquescelerisquedui.org                    |  4 |
| arcu@justoeu.edu                                       |  4 |
| Aenean.massa@velit.net                                 |  4 |
| magnis.dis.parturient@enimNuncut.com                   |  4 |
| eget.mollis@risusMorbimetus.edu                        |  4 |
| ut.eros.non@nibhQuisque.org                            |  4 |
| risus.Quisque.libero@lobortisquis.edu                  |  4 |
| posuere@consectetueradipiscingelit.com                 |  4 |
| nec.ante@enimsitamet.org                               |  4 |
| ut.aliquam@nisimagnased.com                            |  4 |
| metus@fringillaornare.com                              |  4 |
| ligula.Aenean.gravida@sodalesMaurisblandit.org         |  4 |
| egestas.rhoncus@acmattisornare.org                     |  4 |
| ante.iaculis@elit.co.uk                                |  4 |
| ultrices.mauris@milorem.org                            |  4 |
| Cras.vulputate.velit@Curabitursed.edu                  |  4 |
| montes.nascetur@auctorullamcorpernisl.edu              |  4 |
| sapien.gravida.non@vestibulumnec.net                   |  4 |
| mi@duiCumsociis.org                                    |  4 |
| cubilia.Curae@Aliquam.org                              |  4 |
| massa.rutrum.magna@Donec.edu                           |  4 |
| Vestibulum.ante@antelectus.com                         |  4 |
| congue.elit@ac.net                                     |  4 |
| ultrices.mauris.ipsum@tempusnonlacinia.com             |  4 |
| dui@idsapien.edu                                       |  4 |
| fringilla.mi@Fuscealiquet.edu                          |  4 |
| risus.Nulla.eget@eliteratvitae.net                     |  4 |
| amet@blanditatnisi.com                                 |  4 |
| adipiscing@augueeu.net                                 |  4 |
| Aliquam.erat@duiCum.edu                                |  4 |
| Quisque@Aliquam.ca                                     |  4 |
| Mauris.vel.turpis@Cras.org                             |  4 |
| est@Quisquefringilla.ca                                |  4 |
| Quisque@Donec.org                                      |  4 |
| nibh@loremsitamet.edu                                  |  4 |
| euismod.et@eu.net                                      |  4 |
| vel.turpis@antedictum.org                              |  4 |
| erat.volutpat.Nulla@quamvelsapien.net                  |  4 |
| Duis.sit.amet@facilisisegetipsum.net                   |  4 |
| Fusce.dolor.quam@Curabitur.net                         |  4 |
| mus@adipiscingnon.co.uk                                |  4 |
| congue.a@In.net                                        |  4 |
| pretium@pharetra.edu                                   |  4 |
| eu.odio@nonlaciniaat.org                               |  4 |
| non.massa@vitaerisusDuis.edu                           |  4 |
| sed.sapien.Nunc@Vivamusmolestie.org                    |  4 |
| Aliquam.erat@venenatis.co.uk                           |  4 |
| in.faucibus@iaculisneceleifend.org                     |  4 |
| consectetuer.ipsum.nunc@est.ca                         |  4 |
| scelerisque.mollis.Phasellus@Quisque.ca                |  4 |
| Integer.aliquam@Aliquam.co.uk                          |  4 |
| sit.amet@necurnasuscipit.ca                            |  4 |
| odio.sagittis.semper@pellentesquetellus.org            |  4 |
| nisl.Quisque.fringilla@rhoncusNullamvelit.co.uk        |  4 |
| dis.parturient.montes@Nullamenim.ca                    |  4 |
| velit.justo@Intincidunt.co.uk                          |  4 |
| eget@Donecnibh.com                                     |  4 |
| Mauris.blandit@anteipsumprimis.co.uk                   |  4 |
| faucibus.lectus@euismod.co.uk                          |  4 |
| ac.metus.vitae@aliquamenimnec.com                      |  4 |
| congue.In@rhoncusid.com                                |  4 |
| odio.sagittis@Donecfringilla.edu                       |  4 |
| elementum.sem@Phasellusnulla.org                       |  6 |
| a.enim@imperdietdictummagna.net                        |  6 |
| malesuada.augue.ut@imperdietornare.edu                 |  6 |
| primis.in@Utsemperpretium.net                          |  6 |
| facilisis.vitae.orci@quisturpisvitae.org               |  6 |
| tellus.Nunc@loremegetmollis.co.uk                      |  6 |
| nibh.sit@sagittis.net                                  |  6 |
| elit.pharetra@miAliquam.ca                             |  6 |
| semper@pellentesqueegetdictum.edu                      |  6 |
| lectus.Nullam.suscipit@dui.edu                         |  6 |
| ornare.In.faucibus@SeddictumProin.com                  |  6 |
| faucibus.orci.luctus@lorem.net                         |  6 |
| nec.ligula.consectetuer@turpis.co.uk                   |  6 |
| eu@velarcu.com                                         |  6 |
| Sed.nulla.ante@Praesentinterdum.ca                     |  6 |
| nec.eleifend.non@orciDonecnibh.org                     |  6 |
| risus.Donec@Aliquamvulputateullamcorper.org            |  6 |
| amet@Aliquam.org                                       |  6 |
| ornare.tortor@acipsumPhasellus.co.uk                   |  6 |
| penatibus.et@nec.net                                   |  6 |
| sit@ultricesmaurisipsum.co.uk                          |  7 |
| Mauris.vestibulum.neque@semelitpharetra.edu            |  7 |
| blandit.Nam@molestiein.com                             |  7 |
| eget.metus.In@purus.edu                                |  7 |
| Nam.porttitor.scelerisque@Nullam.co.uk                 |  7 |
| id.ante@hendrerit.org                                  |  7 |
| metus.facilisis@aenimSuspendisse.edu                   |  7 |
| nec.eleifend.non@odiovelest.ca                         |  7 |
| Etiam.bibendum@Aliquamadipiscing.org                   |  7 |
| Mauris.non@metusfacilisis.org                          |  7 |
| dolor.sit@ametrisus.edu                                |  7 |
| feugiat.Lorem@elementumat.edu                          |  7 |
| ipsum.dolor@imperdietnecleo.net                        |  7 |
| et.malesuada@pedeSuspendissedui.net                    |  7 |
| Sed.auctor.odio@inconsectetuer.co.uk                   |  7 |
| mauris.a.nunc@Intincidunt.edu                          |  7 |
| aliquam@diam.co.uk                                     |  7 |
| accumsan.neque.et@euismod.co.uk                        |  7 |
| ipsum@ametante.edu                                     |  7 |
| Vivamus.non.lorem@Donecnibh.co.uk                      |  7 |
| ridiculus@montesnasceturridiculus.org                  |  7 |
| elit@netus.org                                         |  7 |
| ac@egettinciduntdui.org                                |  7 |
| vulputate@laoreet.net                                  |  7 |
| mollis.lectus@vel.org                                  |  7 |
| velit.Sed.malesuada@Fuscemilorem.org                   |  7 |
| penatibus.et.magnis@faucibus.org                       |  7 |
| orci.tincidunt@malesuadamalesuadaInteger.net           |  7 |
| libero.et.tristique@gravidamolestiearcu.edu            |  7 |
| feugiat.non.lobortis@Vivamus.net                       |  7 |
| sem.vitae.aliquam@convallis.net                        |  7 |
| Proin@sedliberoProin.co.uk                             |  7 |
| sit@Quisquelibero.org                                  |  7 |
| nascetur@Quisquefringilla.org                          |  7 |
| ultrices.posuere.cubilia@parturient.ca                 |  7 |
| lectus@semegestasblandit.co.uk                         |  7 |
| nulla@ametdiam.ca                                      |  7 |
| ultrices@CuraeDonectincidunt.net                       |  7 |
| non@Sedmolestie.co.uk                                  |  7 |
| aptent.taciti.sociosqu@anteipsum.com                   |  7 |
| pharetra.nibh.Aliquam@sodales.com                      |  7 |
| montes.nascetur@interdumNunc.net                       |  7 |
| Sed.eu@dolorDonec.org                                  |  7 |
| Sed.eu@ligulatortor.co.uk                              |  7 |
| rutrum@arcuiaculis.net                                 |  7 |
| placerat.orci@pretiumet.net                            |  7 |
| nec.malesuada.ut@nec.org                               |  7 |
| mus@nuncullamcorpereu.org                              |  7 |
| semper@inceptos.ca                                     |  7 |
| erat.vitae.risus@Phasellus.net                         |  7 |
| Mauris.ut@cursusnon.ca                                 |  7 |
| adipiscing.fringilla@iaculisneceleifend.ca             |  7 |
| eu@risus.net                                           |  7 |
| mauris.rhoncus@temporerat.org                          |  7 |
| Morbi.neque@id.org                                     |  9 |
| erat.Sed.nunc@acfermentumvel.ca                        |  9 |
| urna.justo@velitegestas.org                            |  9 |
| tempor.erat@pharetraQuisqueac.ca                       |  9 |
| conubia.nostra@commodo.com                             |  9 |
| pharetra.felis@Donecluctus.ca                          |  9 |
| diam.Duis@enimconsequat.net                            |  9 |
| augue.id.ante@nequeNullamut.co.uk                      |  9 |
| cursus@non.edu                                         |  9 |
| volutpat.Nulla@ipsumdolor.co.uk                        |  9 |
| ut.pharetra.sed@CurabiturdictumPhasellus.co.uk         |  9 |
| luctus.aliquet.odio@vulputatevelit.org                 |  9 |
| enim@dignissimpharetra.ca                              |  9 |
| Aliquam@natoque.co.uk                                  |  9 |
| ipsum@pulvinararcuet.edu                               |  9 |
| arcu.Curabitur@enimdiamvel.com                         |  9 |
| sit@Praesenteunulla.co.uk                              |  9 |
| cursus@orciadipiscingnon.com                           |  9 |
| semper@ipsum.co.uk                                     |  9 |
| dolor.Donec.fringilla@nibhDonecest.edu                 |  9 |
| Nullam.ut@erategetipsum.ca                             |  9 |
| nibh.Donec@ultricesaauctor.com                         |  9 |
| mi@Sed.co.uk                                           |  9 |
| ligula.elit.pretium@Morbiaccumsanlaoreet.edu           |  9 |
| Phasellus.elit.pede@Donecat.net                        |  9 |
| libero.Morbi.accumsan@ligulaAenean.com                 |  9 |
| lectus.a@velitAliquam.com                              |  9 |
| at.pede@Proinnon.com                                   |  9 |
| tempus.lorem@Aeneaneuismodmauris.com                   |  9 |
| ipsum@Quisque.co.uk                                    |  9 |
| ornare.elit@nascetur.edu                               |  9 |
| nunc@cursusInteger.edu                                 |  9 |
| nascetur@semeget.net                                   |  9 |
| Nam.ac@perconubia.ca                                   |  9 |
| hendrerit.consectetuer.cursus@non.net                  |  9 |
| urna@sitamet.ca                                        |  9 |
| magnis.dis@imperdietornareIn.ca                        |  9 |
| in.aliquet.lobortis@Utsagittis.co.uk                   |  9 |
| Integer.mollis.Integer@nonlobortis.co.uk               |  9 |
| ipsum.dolor@tinciduntpedeac.net                        |  9 |
| sapien.Nunc.pulvinar@nonmagna.com                      |  9 |
| dignissim.tempor.arcu@laciniaSed.com                   |  9 |
| ornare.facilisis@arcu.com                              |  9 |
| interdum@iaculis.edu                                   |  9 |
| Nullam@variusNam.net                                   |  9 |
| Proin.velit.Sed@etcommodo.ca                           |  9 |
| et@Quisquevarius.org                                   |  9 |
| pede@lorem.ca                                          |  9 |
| nec.luctus@convallis.ca                                |  9 |
| ut.odio.vel@enim.co.uk                                 |  9 |
| orci@ultricessitamet.net                               |  9 |
| lacus@cursusIntegermollis.org                          |  9 |
| sit@enim.org                                           |  9 |
| pretium.aliquet@congueIn.ca                            |  9 |
| vel@cursuset.com                                       |  9 |
| lobortis.ultrices@vulputate.co.uk                      |  9 |
| In@ametorciUt.co.uk                                    |  9 |
| quis.accumsan@aliquetlibero.edu                        |  9 |
| Nulla@aodiosemper.co.uk                                |  9 |
| lacus@risusDonec.ca                                    |  9 |
| ac.urna.Ut@tinciduntnibhPhasellus.org                  |  9 |
| parturient@semmagna.ca                                 |  9 |
| dapibus@nequeNullam.org                                |  9 |
| auctor.velit.Aliquam@nunc.ca                           |  9 |
| sapien.cursus@maurisipsumporta.co.uk                   |  9 |
| Quisque@tinciduntcongueturpis.ca                       |  9 |
| commodo.tincidunt.nibh@velitegetlaoreet.ca             |  9 |
| semper.et@neque.com                                    |  9 |
| In@lacusvarius.com                                     | 10 |
| vitae@Pellentesquehabitantmorbi.edu                    | 10 |
| sit@duiCras.org                                        | 10 |
| dui.quis.accumsan@luctus.net                           | 10 |
| risus.quis.diam@metus.edu                              | 10 |
| elementum.lorem@Aenean.co.uk                           | 10 |
| eu.sem@non.co.uk                                       | 10 |
| Pellentesque.tincidunt.tempus@atpedeCras.net           | 10 |
| tellus.Phasellus.elit@mollisduiin.co.uk                | 10 |
| ornare.lectus@nondui.com                               | 10 |
| lacus@vitaesodales.ca                                  | 10 |
| Sed.nunc.est@semutdolor.org                            | 10 |
| sapien@morbi.ca                                        | 10 |
| interdum.Sed.auctor@ut.net                             | 10 |
| sapien.molestie@necenimNunc.org                        | 10 |
| ultrices.iaculis.odio@CurabiturdictumPhasellus.edu     | 10 |
| mauris.Morbi.non@risusDuis.com                         | 10 |
| ullamcorper.Duis@sociis.net                            | 10 |
| Quisque@eratvelpede.net                                | 10 |
| ridiculus.mus.Donec@est.com                            | 10 |
| ultrices.a.auctor@enimMaurisquis.com                   | 10 |
| dictum.magna.Ut@egetnisidictum.ca                      | 10 |
| nibh.vulputate.mauris@nonsapienmolestie.org            | 10 |
| vulputate.ullamcorper@pharetranibh.net                 | 10 |
| parturient.montes.nascetur@gravida.edu                 | 10 |
| Quisque.fringilla@hymenaeosMauris.org                  | 10 |
| nec.tempus@ipsumSuspendissesagittis.org                | 10 |
| Duis@ac.co.uk                                          | 10 |
| Aliquam.ornare@Nullam.co.uk                            | 10 |
| ut.pellentesque@Inmipede.ca                            | 10 |
| magna@Nunc.ca                                          | 10 |
| amet.ante.Vivamus@musProinvel.com                      | 10 |
| erat@leoCrasvehicula.com                               | 10 |
| massa.Mauris.vestibulum@malesuada.co.uk                | 10 |
| magna.Duis.dignissim@DonecegestasAliquam.ca            | 10 |
| et@maurisaliquam.co.uk                                 | 10 |
| nec.urna.et@Duis.com                                   | 10 |
| Duis.mi.enim@quam.ca                                   | 10 |
| libero.est.congue@egestasAliquam.edu                   | 10 |
| mollis@molestiepharetra.ca                             | 10 |
| lorem@utpellentesque.com                               | 10 |
| pede@nuncQuisque.org                                   | 10 |
| id.blandit.at@liberoProinsed.org                       | 10 |
| Cras.interdum.Nunc@cursus.net                          | 10 |
| Mauris@vulputaterisus.net                              | 10 |
| in@euismodmauriseu.com                                 | 10 |
| nec@Lorem.com                                          | 12 |
| interdum@augueporttitorinterdum.org                    | 12 |
| Phasellus@lacusAliquam.org                             | 12 |
| Aliquam.tincidunt.nunc@dictum.net                      | 12 |
| nunc@urnaetarcu.ca                                     | 12 |
| sapien.Cras@lorem.org                                  | 12 |
| In.tincidunt.congue@velitPellentesque.net              | 12 |
| eros.non.enim@luctusCurabituregestas.edu               | 12 |
| magna@Proinvel.edu                                     | 12 |
| posuere.enim@molestie.edu                              | 12 |
| vulputate@semperegestasurna.edu                        | 12 |
| sollicitudin@ametante.ca                               | 12 |
| orci.luctus.et@ultricesposuere.edu                     | 12 |
| libero.lacus@vellectusCum.edu                          | 12 |
| Praesent.eu@aaliquetvel.edu                            | 12 |
| fringilla.porttitor@necurna.com                        | 12 |
| risus@eueratsemper.com                                 | 12 |
| nec@aliquet.co.uk                                      | 12 |
| Proin@ac.edu                                           | 12 |
| nulla.at@enim.edu                                      | 12 |
| consequat.nec@ipsumsodales.edu                         | 12 |
| pede.blandit@tempusmauriserat.org                      | 13 |
| a@anteiaculisnec.net                                   | 13 |
| nec.eleifend@liberoatauctor.org                        | 13 |
| tincidunt.dui.augue@pharetrasedhendrerit.edu           | 13 |
| vulputate@in.com                                       | 13 |
| euismod@enimconsequatpurus.org                         | 13 |
| tristique.pharetra@idante.edu                          | 13 |
| Sed.neque.Sed@fringillaeuismodenim.org                 | 13 |
| lacus.Etiam@disparturient.co.uk                        | 13 |
| rutrum.justo@atfringilla.org                           | 13 |
| eget@mollisneccursus.edu                               | 13 |
| metus@dignissimmagnaa.edu                              | 13 |
| eu.odio@estvitaesodales.com                            | 13 |
| sed.orci@Craslorem.com                                 | 13 |
| Sed.nec.metus@rutrumnon.co.uk                          | 13 |
| eu.eleifend@hendreritid.co.uk                          | 13 |
| luctus.et@Nullaeget.org                                | 13 |
| facilisis@luctussit.com                                | 13 |
| bibendum@atlacus.ca                                    | 13 |
| id.ante.Nunc@ligulatortor.co.uk                        | 13 |
| velit@lacus.ca                                         | 13 |
| et.pede@interdumfeugiatSed.edu                         | 13 |
| felis.eget@dolorquamelementum.edu                      | 13 |
| et@iaculisaliquet.net                                  | 13 |
| Quisque.libero@velit.ca                                | 13 |
| quis@Phasellusfermentumconvallis.edu                   | 13 |
| lacus@CurabiturdictumPhasellus.co.uk                   | 13 |
| inceptos@DonectinciduntDonec.com                       | 13 |
| convallis.erat.eget@porttitoreros.org                  | 13 |
| Pellentesque.ultricies.dignissim@Nunc.com              | 13 |
| Nulla@infaucibusorci.edu                               | 13 |
| nisi.Mauris.nulla@ipsumSuspendisse.com                 | 13 |
| consectetuer.mauris.id@tinciduntdui.ca                 | 13 |
| tortor.Nunc@lacus.net                                  | 13 |
| tempor.erat.neque@Aliquam.ca                           | 13 |
| non.nisi.Aenean@In.ca                                  | 13 |
| eros.Nam.consequat@tristiquepharetraQuisque.com        | 13 |
| mollis.vitae@malesuada.net                             | 13 |
| lorem.ut.aliquam@Maecenasmalesuada.edu                 | 13 |
| eu.arcu@Etiamgravidamolestie.com                       | 13 |
| eget.laoreet@nonbibendum.ca                            | 13 |
| enim.Curabitur@commodoipsumSuspendisse.net             | 13 |
| Nunc.mauris.sapien@Sed.co.uk                           | 13 |
| molestie.orci@sapien.net                               | 13 |
| vestibulum.neque@Donecsollicitudin.com                 | 13 |
| magna@vulputateposuere.org                             | 13 |
| sit.amet@loremutaliquam.com                            | 13 |
| feugiat.Sed.nec@semper.org                             | 13 |
| est.congue@scelerisquesedsapien.ca                     | 13 |
| Phasellus.nulla.Integer@eros.ca                        | 13 |
| nunc@maurisaliquam.org                                 | 13 |
| velit.Quisque.varius@orciadipiscingnon.net             | 13 |
| mauris.erat@orci.org                                   | 13 |
| Etiam@venenatis.edu                                    | 13 |
| tempor.diam.dictum@eratSed.co.uk                       | 13 |
| adipiscing.fringilla.porttitor@Crasvulputatevelit.org  | 13 |
| Quisque@Sedeu.co.uk                                    | 13 |
| mauris.sapien.cursus@Vivamussitamet.edu                | 13 |
| ornare@ametmetusAliquam.net                            | 13 |
| Proin.mi.Aliquam@adipiscingligula.org                  | 13 |
| enim.non.nisi@tinciduntvehicula.org                    | 13 |
| scelerisque@sagittislobortismauris.net                 | 13 |
| imperdiet.erat.nonummy@Phasellusdolorelit.edu          | 13 |
| auctor.vitae@Quisque.net                               | 13 |
| ipsum@leoVivamusnibh.com                               | 13 |
| dictum@aceleifendvitae.edu                             | 13 |
| augue.ut@vitaedolorDonec.co.uk                         | 13 |
| ligula.consectetuer.rhoncus@sapien.org                 | 13 |
| sed.dolor.Fusce@hendreritid.com                        | 13 |
| pretium@ornarelectusante.org                           | 13 |
| semper.tellus@massa.edu                                | 13 |
| erat.Etiam.vestibulum@diam.co.uk                       | 13 |
| fermentum.fermentum@Seddiam.edu                        | 13 |
| magna.Ut.tincidunt@risusDonecegestas.org               | 13 |
| ante.Maecenas.mi@posuerecubiliaCurae.net               | 13 |
| tellus.lorem@adipiscingenimmi.ca                       | 13 |
| accumsan.sed.facilisis@malesuada.org                   | 13 |
| Mauris@insodaleselit.co.uk                             | 13 |
| non.magna.Nam@quam.ca                                  | 13 |
| fames@nulla.org                                        | 13 |
| auctor@arcuVestibulum.edu                              | 13 |
| velit@erosnec.co.uk                                    | 13 |
| Fusce.mi.lorem@arcuNuncmauris.com                      | 13 |
| facilisis.facilisis@mifelis.ca                         | 13 |
| nisi@dolorNulla.ca                                     | 13 |
| eros.turpis.non@ultricesposuerecubilia.edu             | 14 |
| magna.Sed.eu@quisurnaNunc.com                          | 14 |
| facilisis@in.com                                       | 14 |
| consectetuer@lorem.com                                 | 14 |
| tellus@sodalesat.co.uk                                 | 14 |
| auctor.velit@Morbi.edu                                 | 14 |
| Vivamus.molestie@sapiencursus.com                      | 14 |
| scelerisque@consequat.edu                              | 14 |
| urna.justo@ipsumdolorsit.edu                           | 14 |
| leo@vellectusCum.co.uk                                 | 14 |
| Vivamus.molestie.dapibus@ametdapibusid.co.uk           | 14 |
| sagittis.semper.Nam@nonlobortisquis.net                | 14 |
| neque.Morbi@a.ca                                       | 14 |
| vehicula.et.rutrum@Sed.org                             | 14 |
| ac.facilisis.facilisis@elementum.com                   | 14 |
| nec.leo.Morbi@velitegestaslacinia.ca                   | 14 |
| eu.nibh@Morbinon.edu                                   | 14 |
| ante.Vivamus@pretiumnequeMorbi.edu                     | 14 |
| habitant.morbi@lacusNullatincidunt.co.uk               | 14 |
| bibendum.Donec.felis@etcommodo.com                     | 14 |
| Vestibulum@Curabitur.co.uk                             | 14 |
| Praesent.luctus@varius.co.uk                           | 14 |
| nibh.enim.gravida@mattis.co.uk                         | 14 |
| et.netus.et@placerataugueSed.co.uk                     | 14 |
| Nulla@felis.net                                        | 14 |
| Phasellus.in@bibendum.co.uk                            | 14 |
| a.auctor@libero.org                                    | 14 |
| pede.Praesent@vel.com                                  | 14 |
| eu.sem.Pellentesque@mus.ca                             | 14 |
| Etiam.bibendum@sollicitudinadipiscing.ca               | 14 |
| sed@non.ca                                             | 14 |
| nibh.enim@liberonec.net                                | 14 |
| parturient.montes@neceuismod.edu                       | 14 |
| Vivamus.nibh@lobortis.org                              | 18 |
| luctus.ut.pellentesque@Proineget.edu                   | 18 |
